Cattle_id,Farmer_id,Vaccination_status,Age,Offspring,Identity_tag,Medical_history,Milk_capacity
1,5,Not Vaccinated,3,0,1000,History 1,21
2,17,Vaccinated,8,3,1001,History 2,26
3,17,Not Vaccinated,5,0,1002,History 3,67
4,8,Not Vaccinated,1,3,1003,History 4,57
5,13,Not Vaccinated,9,3,1004,History 5,36
6,6,Not Vaccinated,7,4,1005,History 6,84
7,2,Not Vaccinated,2,4,1006,History 7,49
8,19,Vaccinated,6,1,1007,History 8,60
9,7,Not Vaccinated,3,1,1008,History 9,50
10,13,Vaccinated,5,5,1009,History 10,26
